iter	Passed	Remaining
0	6	6697
1	12	6404
2	19	6422
3	25	6280
4	31	6252
5	37	6261
6	43	6212
7	50	6275
8	56	6204
9	63	6238
10	69	6276
11	76	6304
12	83	6345
13	90	6367
14	96	6331
15	104	6428
16	112	6476
17	128	6992
18	144	7439
19	162	7949
20	183	8539
21	202	9022
22	230	9771
23	244	9927
24	259	10128
25	279	10456
26	298	10742
27	315	10954
28	332	11145
29	349	11301
30	368	11527
31	381	11541
32	388	11392
33	395	11243
34	402	11105
35	409	10964
36	418	10901
37	431	10916
38	449	11071
39	470	11297
40	495	11592
41	521	11905
42	535	11920
43	545	11843
44	555	11779
45	563	11680
46	576	11685
47	590	11708
48	600	11650
49	615	11693
50	623	11611
51	632	11529
52	638	11411
53	644	11293
54	651	11201
55	663	11190
56	671	11111
57	677	11007
58	684	10915
59	690	10819
60	696	10716
61	702	10630
62	708	10541
63	714	10450
64	721	10376
65	727	10300
66	734	10223
67	740	10155
68	747	10080
69	753	10013
70	760	9944
71	766	9883
72	774	9836
73	786	9836
74	793	9783
75	799	9721
76	817	9797
77	831	9833
78	848	9888
79	865	9956
80	884	10030
81	899	10074
82	914	10100
83	921	10047
84	928	9989
85	936	9951
86	945	9922
87	952	9868
88	958	9811
89	964	9754
90	971	9703
91	978	9658
92	988	9642
93	995	9598
94	1002	9550
95	1008	9494
96	1014	9440
97	1020	9389
98	1026	9339
99	1032	9293
100	1038	9241
101	1044	9195
102	1050	9148
103	1056	9103
104	1062	9058
105	1069	9016
106	1075	8976
107	1081	8935
108	1087	8891
109	1093	8851
110	1100	8811
111	1106	8774
112	1112	8733
113	1118	8696
114	1125	8658
115	1131	8621
116	1137	8584
117	1143	8548
118	1149	8513
119	1156	8477
120	1162	8444
121	1168	8412
122	1175	8383
123	1183	8359
124	1192	8344
125	1198	8312
126	1207	8303
127	1220	8312
128	1230	8306
129	1239	8293
130	1248	8282
131	1257	8269
132	1265	8250
133	1273	8229
134	1281	8211
135	1290	8195
136	1297	8175
137	1305	8156
138	1313	8133
139	1320	8113
140	1328	8092
141	1336	8072
142	1344	8056
143	1351	8035
144	1359	8014
145	1366	7992
146	1375	7984
147	1384	7971
148	1395	7971
149	1404	7960
150	1412	7942
151	1420	7925
152	1429	7915
153	1439	7906
154	1447	7890
155	1456	7877
156	1465	7867
157	1472	7849
158	1480	7830
159	1492	7837
160	1519	7916
161	1530	7916
162	1540	7909
163	1550	7904
164	1561	7900
165	1572	7898
166	1585	7907
167	1599	7919
168	1610	7920
169	1625	7938
170	1636	7932
171	1658	7982
172	1666	7967
173	1673	7946
174	1681	7925
175	1688	7904
176	1695	7885
177	1704	7870
178	1712	7855
179	1720	7836
180	1728	7820
181	1736	7804
182	1743	7785
183	1751	7766
184	1758	7747
185	1766	7731
186	1773	7712
187	1781	7693
188	1790	7681
189	1797	7662
190	1804	7643
191	1813	7632
192	1820	7612
193	1830	7606
194	1838	7588
195	1844	7566
196	1850	7544
197	1856	7521
198	1862	7497
199	1868	7475
200	1876	7459
201	1884	7443
202	1891	7425
203	1900	7416
204	1906	7395
205	1912	7372
206	1919	7351
207	1924	7329
208	1930	7305
209	1936	7284
210	1942	7263
211	1949	7245
212	1956	7229
213	1968	7231
214	1976	7216
215	1986	7211
216	2000	7219
217	2011	7216
218	2027	7230
219	2038	7226
220	2047	7215
221	2060	7220
222	2075	7232
223	2087	7231
224	2101	7237
225	2113	7237
226	2121	7225
227	2129	7210
228	2136	7194
229	2144	7178
230	2150	7159
231	2157	7142
232	2165	7127
233	2172	7111
234	2180	7096
235	2187	7080
236	2193	7061
237	2200	7045
238	2206	7026
239	2213	7010
240	2220	6994
241	2228	6981
242	2236	6968
243	2246	6959
244	2253	6944
245	2261	6930
246	2268	6915
247	2275	6899
248	2282	6885
249	2289	6869
250	2295	6850
251	2301	6832
252	2309	6818
253	2317	6805
254	2325	6792
255	2332	6778
256	2339	6763
257	2345	6746
258	2352	6729
259	2359	6716
260	2366	6701
261	2373	6684
262	2380	6671
263	2388	6657
264	2394	6640
265	2400	6623
266	2406	6607
267	2414	6593
268	2421	6579
269	2428	6565
270	2435	6551
271	2442	6537
272	2451	6527
273	2457	6511
274	2464	6496
275	2469	6479
276	2478	6468
277	2485	6456
278	2496	6450
279	2505	6443
280	2513	6431
281	2519	6415
282	2527	6403
283	2534	6389
284	2541	6374
285	2546	6358
286	2553	6344
287	2561	6332
288	2567	6317
289	2574	6303
290	2581	6289
291	2588	6275
292	2594	6261
293	2601	6248
294	2607	6232
295	2614	6217
296	2620	6201
297	2626	6186
298	2632	6171
299	2637	6155
300	2643	6138
301	2651	6129
302	2659	6118
303	2669	6111
304	2676	6098
305	2682	6084
306	2688	6068
307	2694	6053
308	2700	6039
309	2707	6026
310	2717	6021
311	2726	6012
312	2735	6004
313	2743	5992
314	2750	5981
315	2758	5970
316	2765	5958
317	2771	5944
318	2779	5933
319	2786	5921
320	2793	5908
321	2800	5896
322	2808	5885
323	2815	5874
324	2823	5863
325	2831	5854
326	2839	5843
327	2845	5830
328	2853	5819
329	2861	5809
330	2869	5799
331	2877	5790
332	2888	5785
333	2896	5775
334	2903	5763
335	2911	5753
336	2918	5741
337	2925	5730
338	2933	5720
339	2941	5709
340	2949	5699
341	2957	5689
342	2965	5680
343	2973	5670
344	2980	5657
345	2986	5644
346	2993	5632
347	2999	5620
348	3006	5608
349	3013	5596
350	3020	5584
351	3026	5571
352	3033	5559
353	3040	5548
354	3047	5536
355	3054	5525
356	3060	5512
357	3067	5500
358	3073	5488
359	3081	5477
360	3087	5465
361	3096	5456
362	3102	5445
363	3109	5432
364	3114	5418
365	3120	5405
366	3127	5394
367	3135	5384
368	3142	5374
369	3150	5364
370	3157	5353
371	3166	5346
372	3176	5340
373	3185	5331
374	3193	5321
375	3199	5309
376	3204	5296
377	3210	5283
378	3216	5270
379	3223	5259
380	3229	5246
381	3235	5234
382	3241	5221
383	3247	5209
384	3253	5196
385	3259	5184
386	3266	5173
387	3272	5161
388	3289	5166
389	3303	5166
390	3310	5156
391	3327	5161
392	3342	5163
393	3357	5164
394	3371	5163
395	3386	5165
396	3401	5166
397	3409	5156
398	3415	5145
399	3422	5133
400	3428	5121
401	3438	5115
402	3450	5111
403	3458	5102
404	3466	5092
405	3472	5080
406	3478	5068
407	3485	5057
408	3491	5045
409	3499	5035
410	3507	5026
411	3524	5030
412	3536	5026
413	3546	5020
414	3554	5011
415	3562	5000
416	3569	4989
417	3575	4978
418	3582	4967
419	3588	4955
420	3594	4943
421	3600	4931
422	3606	4919
423	3612	4907
424	3618	4895
425	3624	4883
426	3630	4872
427	3636	4860
428	3642	4848
429	3648	4836
430	3654	4824
431	3660	4813
432	3667	4802
433	3672	4790
434	3679	4779
435	3695	4780
436	3703	4770
437	3710	4760
438	3716	4749
439	3722	4737
440	3728	4726
441	3734	4714
442	3740	4702
443	3746	4690
444	3751	4678
445	3757	4667
446	3764	4656
447	3770	4645
448	3776	4633
449	3782	4622
450	3788	4611
451	3795	4601
452	3801	4590
453	3812	4585
454	3826	4583
455	3832	4572
456	3849	4574
457	3866	4575
458	3881	4574
459	3898	4576
460	3914	4577
461	3932	4578
462	3946	4577
463	3959	4573
464	3967	4564
465	3974	4554
466	3996	4560
467	4004	4552
468	4012	4542
469	4020	4533
470	4035	4532
471	4053	4534
472	4068	4532
473	4075	4522
474	4082	4512
475	4089	4501
476	4096	4491
477	4103	4481
478	4111	4471
479	4119	4462
480	4127	4454
481	4134	4443
482	4142	4434
483	4152	4426
484	4159	4416
485	4167	4407
486	4175	4398
487	4182	4388
488	4190	4379
489	4198	4369
490	4216	4370
491	4224	4361
492	4230	4350
493	4237	4339
494	4243	4329
495	4250	4319
496	4256	4307
497	4262	4296
498	4268	4285
499	4275	4275
500	4282	4265
501	4289	4255
502	4297	4245
503	4306	4238
504	4323	4237
505	4351	4247
506	4381	4260
507	4469	4328
508	4518	4359
509	4556	4377
510	4582	4385
511	4612	4396
512	4634	4399
513	4665	4411
514	4695	4422
515	4708	4416
516	4720	4409
517	4731	4402
518	4745	4398
519	4768	4402
520	4787	4401
521	4805	4400
522	4829	4404
523	4842	4399
524	4851	4389
525	4859	4379
526	4869	4370
527	4878	4361
528	4887	4351
529	4896	4341
530	4905	4332
531	4914	4323
532	4925	4315
533	4934	4306
534	4943	4296
535	4951	4286
536	4964	4280
537	4974	4271
538	4983	4262
539	4992	4252
540	5000	4242
541	5011	4234
542	5020	4225
543	5034	4219
544	5043	4210
545	5052	4200
546	5061	4191
547	5071	4183
548	5080	4173
549	5089	4164
550	5096	4153
551	5104	4143
552	5112	4132
553	5120	4122
554	5129	4112
555	5137	4102
556	5144	4091
557	5152	4081
558	5160	4071
559	5168	4061
560	5177	4051
561	5186	4042
562	5194	4032
563	5204	4023
564	5226	4024
565	5239	4017
566	5248	4008
567	5256	3997
568	5263	3987
569	5271	3976
570	5279	3966
571	5288	3957
572	5297	3947
573	5305	3937
574	5314	3928
575	5324	3919
576	5333	3910
577	5343	3901
578	5352	3892
579	5362	3883
580	5372	3874
581	5382	3865
582	5390	3855
583	5399	3845
584	5407	3836
585	5416	3826
586	5424	3816
587	5432	3806
588	5440	3796
589	5448	3786
590	5456	3776
591	5465	3766
592	5473	3756
593	5484	3748
594	5494	3739
595	5502	3729
596	5511	3720
597	5520	3710
598	5529	3701
599	5537	3691
600	5544	3681
601	5552	3670
602	5559	3660
603	5568	3650
604	5575	3640
605	5584	3630
606	5592	3620
607	5599	3609
608	5606	3599
609	5616	3591
610	5624	3581
611	5632	3571
612	5640	3561
613	5648	3551
614	5657	3541
615	5664	3531
616	5672	3521
617	5680	3511
618	5688	3501
619	5696	3491
620	5704	3481
621	5712	3471
622	5718	3460
623	5725	3449
624	5732	3439
625	5738	3428
626	5745	3417
627	5751	3406
628	5758	3396
629	5765	3386
630	5772	3375
631	5779	3365
632	5786	3355
633	5794	3344
634	5800	3334
635	5807	3323
636	5815	3314
637	5823	3304
638	5829	3293
639	5836	3282
640	5842	3272
641	5848	3261
642	5856	3251
643	5863	3241
644	5870	3231
645	5877	3220
646	5884	3210
647	5891	3200
648	5898	3190
649	5905	3180
650	5913	3170
651	5920	3159
652	5927	3149
653	5934	3139
654	5941	3129
655	5948	3119
656	5955	3109
657	5963	3099
658	5970	3089
659	5978	3079
660	5985	3069
661	5993	3059
662	6003	3051
663	6010	3041
664	6016	3031
665	6025	3021
666	6034	3012
667	6040	3002
668	6047	2992
669	6053	2981
670	6060	2971
671	6068	2961
672	6075	2952
673	6083	2942
674	6090	2932
675	6097	2922
676	6104	2912
677	6112	2902
678	6119	2893
679	6127	2883
680	6133	2873
681	6139	2862
682	6146	2852
683	6152	2842
684	6159	2832
685	6165	2822
686	6171	2811
687	6178	2801
688	6184	2791
689	6190	2781
690	6197	2771
691	6203	2761
692	6210	2751
693	6216	2741
694	6223	2731
695	6229	2720
696	6236	2710
697	6243	2701
698	6250	2691
699	6256	2681
700	6263	2671
701	6269	2661
702	6275	2651
703	6282	2641
704	6288	2631
705	6295	2621
706	6302	2611
707	6309	2602
708	6316	2592
709	6323	2582
710	6330	2573
711	6338	2563
712	6345	2554
713	6351	2544
714	6358	2534
715	6364	2524
716	6370	2514
717	6377	2504
718	6382	2494
719	6389	2484
720	6395	2474
721	6402	2465
722	6409	2455
723	6415	2445
724	6422	2435
725	6429	2426
726	6436	2417
727	6444	2407
728	6454	2399
729	6462	2390
730	6469	2380
731	6475	2370
732	6482	2361
733	6491	2352
734	6500	2343
735	6507	2334
736	6515	2324
737	6522	2315
738	6529	2306
739	6535	2296
740	6540	2286
741	6546	2276
742	6552	2266
743	6558	2256
744	6565	2247
745	6573	2238
746	6580	2228
747	6587	2219
748	6593	2209
749	6599	2199
750	6606	2190
751	6612	2180
752	6619	2171
753	6625	2161
754	6631	2151
755	6637	2142
756	6643	2132
757	6648	2122
758	6655	2113
759	6663	2104
760	6672	2095
761	6681	2086
762	6690	2078
763	6704	2071
764	6711	2061
765	6718	2052
766	6724	2042
767	6730	2033
768	6735	2023
769	6741	2013
770	6747	2004
771	6752	1994
772	6759	1984
773	6765	1975
774	6771	1966
775	6777	1956
776	6783	1946
777	6790	1937
778	6798	1928
779	6805	1919
780	6813	1910
781	6820	1901
782	6828	1892
783	6835	1883
784	6842	1874
785	6849	1864
786	6856	1855
787	6863	1846
788	6870	1837
789	6878	1828
790	6886	1819
791	6894	1810
792	6901	1801
793	6908	1792
794	6914	1783
795	6922	1774
796	6930	1765
797	6937	1756
798	6946	1747
799	6956	1739
800	6963	1729
801	6970	1720
802	6976	1711
803	6983	1702
804	6989	1693
805	6996	1683
806	7003	1674
807	7009	1665
808	7016	1656
809	7023	1647
810	7029	1638
811	7037	1629
812	7043	1620
813	7051	1611
814	7058	1602
815	7065	1593
816	7071	1584
817	7079	1575
818	7086	1566
819	7093	1557
820	7102	1548
821	7109	1539
822	7116	1530
823	7123	1521
824	7129	1512
825	7135	1503
826	7141	1493
827	7148	1484
828	7155	1475
829	7162	1466
830	7168	1457
831	7174	1448
832	7181	1439
833	7187	1430
834	7194	1421
835	7200	1412
836	7206	1403
837	7213	1394
838	7219	1385
839	7225	1376
840	7233	1367
841	7240	1358
842	7248	1350
843	7256	1341
844	7264	1332
845	7272	1323
846	7279	1314
847	7286	1306
848	7294	1297
849	7302	1288
850	7309	1279
851	7316	1271
852	7324	1262
853	7332	1253
854	7338	1244
855	7345	1235
856	7351	1226
857	7358	1217
858	7364	1208
859	7371	1199
860	7378	1191
861	7384	1182
862	7391	1173
863	7398	1164
864	7404	1155
865	7411	1146
866	7418	1137
867	7424	1129
868	7431	1120
869	7438	1111
870	7444	1102
871	7451	1093
872	7458	1085
873	7464	1076
874	7470	1067
875	7479	1058
876	7485	1049
877	7492	1041
878	7499	1032
879	7506	1023
880	7512	1014
881	7518	1005
882	7524	997
883	7530	988
884	7536	979
885	7542	970
886	7548	961
887	7553	952
888	7559	943
889	7565	935
890	7572	926
891	7577	917
892	7583	908
893	7588	899
894	7594	890
895	7600	882
896	7605	873
897	7611	864
898	7617	855
899	7623	847
900	7628	838
901	7634	829
902	7640	820
903	7645	811
904	7651	803
905	7656	794
906	7662	785
907	7668	776
908	7673	768
909	7679	759
910	7685	750
911	7692	742
912	7698	733
913	7704	724
914	7710	716
915	7716	707
916	7721	698
917	7727	690
918	7733	681
919	7738	672
920	7744	664
921	7749	655
922	7755	646
923	7761	638
924	7766	629
925	7772	621
926	7777	612
927	7783	603
928	7789	595
929	7794	586
930	7800	578
931	7806	569
932	7812	561
933	7818	552
934	7825	544
935	7831	535
936	7838	527
937	7844	518
938	7850	509
939	7856	501
940	7862	492
941	7869	484
942	7874	475
943	7881	467
944	7888	459
945	7895	450
946	7902	442
947	7908	433
948	7914	425
949	7921	416
950	7927	408
951	7934	400
952	7940	391
953	7945	383
954	7951	374
955	7957	366
956	7964	357
957	7970	349
958	7976	341
959	7985	332
960	7992	324
961	7997	315
962	8004	307
963	8010	299
964	8017	290
965	8023	282
966	8029	274
967	8035	265
968	8041	257
969	8047	248
970	8053	240
971	8059	232
972	8065	223
973	8071	215
974	8077	207
975	8084	198
976	8091	190
977	8097	182
978	8105	173
979	8110	165
980	8117	157
981	8123	148
982	8129	140
983	8136	132
984	8142	123
985	8147	115
986	8153	107
987	8159	99
988	8166	90
989	8172	82
990	8178	74
991	8185	66
992	8190	57
993	8196	49
994	8203	41
995	8209	32
996	8215	24
997	8222	16
998	8228	8
999	8234	0
